Время;мс;13045 Неисправность датчика цил. А6;Температура топлива;Температура масла;Температура выпускных газов А1;Температура выпускных газов А2;Температура выпускных газов А3;Температура выпускных газов А4;Температура выпускных газов А5;Температура выпускных газов А6;Температура выпускных газов А7;Температура выпускных газов А8;Температура выпускных газов В1;Температура выпускных газов В2;Температура выпускных газов В3;Температура выпускных газов В4;Температура выпускных газов В5;Температура выпускных газов В6;Температура выпускных газов В7;Температура выпускных газов В8
9:0:21;301;0;14,1542687113756;68,050659952697;131,934081025406;136,432440680552;128,039978637369;129,835965514611;126,009002822919;124,934767681392;132,521553368429;132,806897077897;141,501487754635;134,451819638361;135,123216601816;135,928892957961;134,384679942016;131,682307164111;132,118715190356;127,872129396506;
9:0:22;301;0;14,0871290150301;68,0842298008698;131,564812695506;136,079957274739;127,704280155642;129,46669718471;125,639734493019;124,615854123751;132,219424734875;132,487983520256;141,686121919585;134,569314106966;135,274280918593;136,02960250248;134,552529182879;131,866941329061;132,28656443122;128,039978637369;
9:0:23;299;0;14,1206988632029;68,0170901045243;131,212329289693;135,744258793011;127,385366598001;129,130998702983;125,304036011292;124,313725490196;131,91729610132;132,169069962615;141,921110856794;134,68680857557;135,408560311284;136,147096971084;134,737163347829;131,950865949493;132,487983520256;128,224612802319;
9:0:24;301;0;14,1374837872892;68,050659952697;130,859845883879;135,408560311284;127,06645304036;128,778515297169;124,951552605478;123,961242084382;131,631952391852;131,850156404974;142,12252994583;134,804303044175;135,542839703975;136,247806515602;134,921797512779;132,152285038529;132,672617685206;128,426031891356;
9:0:25;301;0;14,1039139391165;68,050659952697;130,507362478065;135,089646753643;126,781109330892;128,426031891356;124,582284275578;123,608758678569;131,346608682383;131,514457923247;142,340733958953;134,938582436866;135,66033417258;136,348516060121;135,123216601816;132,303349355306;132,857251850156;128,593881132219;
9:0:26;301;0;14,1542687113756;68,050659952697;130,121309224079;134,670023651484;126,445410849165;128,023193713283;124,213015945678;123,289845120928;130,977340352483;131,161974517433;142,424658579385;135,005722133211;135,744258793011;136,348516060121;135,24071107042;132,387273975738;132,957961394675;128,711375600824;
9:0:27;301;0;14,2046234836347;68,0674448767834;129,752040894179;134,367895017929;126,14328221561;127,670710307469;123,877317463951;122,970931563287;130,691996643015;130,843060959792;142,626077668421;135,156786449989;135,895323109789;136,466010528725;135,47570000763;132,622262912947;133,125810635538;128,862439917601;
9:0:28;301;0;14,2046234836347;68,1010147249561;129,46669718471;134,200045777066;125,908293278401;127,418936446174;123,692683299001;122,735942626078;130,457007705806;130,725566491188;142,928206301976;135,341420614939;136,063172350652;136,617074845502;135,744258793011;132,790112153811;133,377584496834;129,09742885481;
9:0:29;299;0;14,171053635462;68,1177996490425;129,09742885481;133,864347295338;125,572594796674;127,06645304036;123,340199893187;122,417029068437;130,188448920424;130,423437857633;143,112840466926;135,492484931716;136,197451743343;136,734569314107;135,945677882048;132,941176470588;133,511863889525;129,28206301976;
9:0:30;301;0;14,2381933318074;68,0674448767834;128,896009765774;133,57900358587;125,270466163119;126,831464103151;123,00450141146;122,064545662623;129,987029831388;130,087739375906;143,347829404135;135,526054779889;136,314946211948;136,835278858625;136,046387426566;133,058670939193;133,730067902647;129,433127336538;
9:0:31;299;0;14,2046234836347;68,1010147249561;128,560311284047;133,260090028229;124,917982757305;126,495765621424;122,685587853819;121,678492408637;129,684901197833;129,802395666438;143,566033417258;135,677119096666;136,449225604639;136,95277332723;136,21423666743;133,226520180056;133,931486991684;129,600976577401;
9:0:32;302;0;14,2046234836347;68,1177996490425;128,224612802319;132,941176470588;124,599069199664;126,160067139696;122,366674296178;121,359578850996;129,399557488365;129,500267032883;143,784237430381;135,828183413443;136,600289921416;137,070267795834;136,432440680552;133,444724193179;134,149691004807;129,785610742351;
9:0:33;301;0;14,2381933318074;68,1177996490425;127,905699244678;132,605477988861;124,29694056611;125,857938506142;122,047760738537;121,074235141527;129,09742885481;129,198138399329;144,002441443503;135,945677882048;136,751354238193;137,187762264439;136,617074845502;133,562218661784;134,351110093843;129,970244907301;
9:0:34;301;0;14,2381933318074;68,0842298008698;127,536430914778;132,28656443122;123,994811932555;125,539024948501;121,695277332723;120,772106507973;128,828870069429;128,896009765774;144,20386053254;136,096742198825;136,885633630884;137,288471808957;136,835278858625;133,780422674907;134,50217441062;130,138094148165;
9:0:35;300;0;14,2549782558938;68,1177996490425;127,167162584878;131,91729610132;123,642328526741;125,152971694514;121,309224078737;120,402838178073;128,459601739528;128,526741435874;144,38849469749;136,163881895171;136,969558251316;137,32204165713;136,95277332723;133,914702067597;134,636453803311;130,25558861677;
9:0:36;301;0;14,2885481040665;68,1177996490425;126,915388723583;131,648737315938;123,390554665446;124,85084306096;121,057450217441;120,151064316777;128,241397726406;128,308537422751;144,657053482872;136,331731136034;137,170977340352;137,50667582208;137,187762264439;134,149691004807;134,854657816434;130,524147402152;
9:0:37;302;0;14,2885481040665;68,1177996490425;126,596475165942;131,36339360647;123,054856183719;124,515144579232;120,721751735714;119,781795986877;127,956054016938;128,006408789197;144,858472571908;136,466010528725;137,305256733043;137,624170290684;137,372396429389;134,31754024567;135,05607690547;130,691996643015;
9:0:38;301;0;14,2717631799802;68,1010147249561;126,277561608301;131,061264972915;122,887006942855;124,179446097505;120,419623102159;119,613946746014;127,687495231556;127,721065079728;145,009536888685;136,600289921416;137,456321049821;137,708094911116;137,557030594339;134,418249790188;135,24071107042;130,876630807965;
9:0:39;301;0;14,3221179522393;68,1345845731289;125,874723430228;130,691996643015;122,500953688869;123,793392843519;120,016784924086;119,244678416114;127,385366598001;127,351796749828;145,143816281376;136,667429617762;137,50667582208;137,758449683375;137,708094911116;134,535744258793;135,341420614939;130,977340352483;
9:0:40;302;0;14,2717631799802;68,0842298008698;125,639734493019;130,540932326238;122,282749675746;123,55840390631;119,882505531395;118,976119630732;127,150377660792;127,234302281224;145,445944914931;136,852063782712;137,69130998703;137,926298924239;137,959868772412;134,737163347829;135,593194476234;131,229114213779;
9:0:41;302;0;14,2549782558938;68,1177996490425;125,304036011292;130,238803692683;121,963836118105;123,239490348669;119,563591973754;118,673990997177;126,865033951324;126,965743495842;145,664148928054;136,986343175402;137,842374303807;138,043793392844;138,144502937362;134,938582436866;135,79461356527;131,413748378729;
9:0:42;301;0;14,3221179522393;68,1177996490425;125,052262149996;129,88632028687;121,594567788205;122,9541466392;119,177538719768;118,287937743191;126,630045014115;126,596475165942;145,831998168917;137,019913023575;137,909514000153;138,077363241016;138,211642633707;135,005722133211;135,928892957961;131,430533302815;
9:0:43;301;0;14,3053330281529;68,1010147249561;124,800488288701;129,617761501488;121,359578850996;122,702372777905;118,942549782559;118,086518654154;126,395056076905;126,395056076905;146,117341878386;137,187762264439;138,127718013275;138,24521248188;138,446631570916;135,207141222248;136,197451743343;131,715877012283;
